,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,Lüderitz,-26.65,15.16,13.66,64.0,0.0,8.73,NA,1601446782.0
335,Iqaluit,63.75,-68.51,-2.0,68.0,90.0,5.7,CA,1601446514.0
336,Tasiilaq,65.61,-37.64,-1.0,80.0,98.0,0.5,GL,1601446860.0
337,Kiri Buru,22.08,85.35,23.87,92.0,100.0,0.84,IN,1601446860.0
338,Luang Prabang,19.89,102.13,31.0,66.0,75.0,0.61,LA,1601446861.0
339,New Norfolk,-42.78,147.06,17.22,56.0,97.0,3.13,AU,1601446861.0
341,Gravdal,68.12,13.5,9.0,100.0,75.0,2.1,NO,1601446833.0
343,Cam Ranh,11.92,109.16,33.0,66.0,20.0,4.1,VN,1601446862.0
344,Hobart,-42.88,147.33,17.22,55.0,75.0,7.7,AU,1601446645.0
345,Cape Town,-33.93,18.42,15.56,87.0,27.0,1.0,ZA,1601446234.0
346,Vaini,-21.2,-175.2,25.0,94.0,75.0,7.2,TO,1601446774.0
347,Chauk,20.88,94.82,32.79,56.0,37.0,4.67,MM,1601446863.0
348,Menongue,-14.66,17.69,21.89,43.0,97.0,0.25,AO,1601446863.0
349,Aracati,-4.56,-37.77,22.43,83.0,0.0,3.92,BR,1601446864.0
350,Bredasdorp,-34.53,20.04,11.0,87.0,19.0,1.0,ZA,1601446864.0
351,Saint-Philippe,-21.36,55.77,26.0,57.0,35.0,3.1,RE,1601446769.0
352,Dunedin,-45.87,170.5,11.11,65.0,97.0,4.92,NZ,1601446865.0
353,Chokurdakh,70.63,147.92,6.15,86.0,91.0,3.48,RU,1601446832.0
354,Florø,61.6,5.03,12.0,93.0,75.0,3.6,NO,1601446865.0
355,Mar del Plata,-38.0,-57.56,12.0,87.0,29.0,4.6,AR,1601446761.0
356,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
357,Eureka,40.8,-124.16,15.0,93.0,2.0,0.45,US,1601446866.0
358,Broome,42.25,-75.83,12.22,100.0,90.0,3.6,US,1601446866.0
359,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
360,Skegness,53.14,0.34,11.11,93.0,40.0,2.6,GB,1601446866.0
361,Shambu,9.57,37.1,14.49,98.0,80.0,0.64,ET,1601446867.0
362,Phoenix,33.45,-112.07,31.0,16.0,1.0,1.18,US,1601446701.0
363,Busselton,-33.65,115.33,17.78,78.0,100.0,4.02,AU,1601446779.0
364,East London,-33.02,27.91,16.0,59.0,0.0,3.6,ZA,1601446561.0
365,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
366,Albany,42.6,-73.97,13.89,100.0,90.0,1.5,US,1601446765.0
367,Hithadhoo,-0.6,73.08,28.64,68.0,100.0,3.27,MV,1601446624.0
368,Ribeira Grande,38.52,-28.7,16.0,82.0,20.0,2.1,PT,1601446778.0
369,Río Gallegos,-51.62,-69.22,0.0,88.0,37.0,8.2,AR,1601446782.0
370,Vaini,-21.2,-175.2,25.0,94.0,75.0,7.2,TO,1601446774.0
371,Caravelas,-17.71,-39.25,22.29,91.0,10.0,2.31,BR,1601446830.0
372,Vilhena,-12.74,-60.15,23.29,69.0,53.0,1.16,BR,1601446869.0
373,Rocha,-34.48,-54.33,8.05,92.0,0.0,2.18,UY,1601446587.0
374,Qaanaaq,77.48,-69.36,-9.91,78.0,0.0,3.13,GL,1601446768.0
375,Kapaa,22.08,-159.32,27.0,69.0,1.0,3.1,US,1601446767.0
376,Kieta,-6.22,155.63,28.05,78.0,28.0,2.52,PG,1601446870.0
377,Tuy Hoa,13.08,109.3,32.79,57.0,100.0,4.06,VN,1601446870.0
378,Seoul,37.57,126.98,25.0,53.0,20.0,2.17,KR,1601446857.0
379,Mataura,-46.19,168.86,10.0,83.0,100.0,3.13,NZ,1601446781.0
380,Tasiilaq,65.61,-37.64,-1.0,80.0,98.0,0.5,GL,1601446860.0
381,Kroya,-7.63,109.25,29.21,68.0,51.0,5.66,ID,1601446871.0
382,New Norfolk,-42.78,147.06,17.22,56.0,97.0,3.13,AU,1601446861.0
383,Chui,-33.7,-53.46,10.58,94.0,0.0,2.09,UY,1601446786.0
384,Vaini,-21.2,-175.2,25.0,94.0,75.0,7.2,TO,1601446774.0
385,Nikolskoye,59.7,30.79,12.0,87.0,90.0,2.0,RU,1601446823.0
386,Aswān,24.09,32.91,33.01,17.0,0.0,3.79,EG,1601446872.0
387,Jamestown,42.1,-79.24,10.56,93.0,90.0,3.6,US,1601446590.0
388,Lebu,-37.62,-73.65,7.44,83.0,96.0,4.82,CL,1601446858.0
389,Ostrovnoy,68.05,39.51,8.76,78.0,3.0,6.86,RU,1601446873.0
390,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
391,Faya,18.39,42.45,21.0,37.0,0.0,1.08,SA,1601446874.0
392,Bengkulu,-3.8,102.27,31.35,55.0,48.0,5.39,ID,1601446770.0
393,Cap-aux-Meules,47.38,-61.86,16.39,94.0,14.0,10.2,CA,1601446874.0
394,Ushuaia,-54.8,-68.3,-1.0,100.0,75.0,7.7,AR,1601446797.0
395,Busselton,-33.65,115.33,17.78,78.0,100.0,4.02,AU,1601446779.0
396,Laas,46.62,10.7,6.11,100.0,40.0,1.5,IT,1601446875.0
397,Pau Brasil,-15.46,-39.65,18.76,97.0,19.0,0.16,BR,1601446875.0
398,Saint George,37.1,-113.58,20.56,14.0,1.0,2.1,US,1601446729.0
399,Hilo,19.73,-155.09,27.0,74.0,20.0,2.1,US,1601446795.0
400,Laas,46.62,10.7,6.11,100.0,40.0,1.5,IT,1601446875.0
401,Torbay,47.67,-52.73,18.33,100.0,75.0,5.1,CA,1601446841.0
402,Ushuaia,-54.8,-68.3,-1.0,100.0,75.0,7.7,AR,1601446797.0
403,Kapaa,22.08,-159.32,27.0,69.0,1.0,3.1,US,1601446767.0
405,Mataura,-46.19,168.86,10.0,83.0,100.0,3.13,NZ,1601446781.0
406,Padang,-0.95,100.35,29.68,66.0,23.0,1.98,ID,1601446877.0
407,Katsuura,35.13,140.3,26.11,56.0,20.0,2.6,JP,1601446877.0
408,Port Alfred,-33.59,26.89,15.66,60.0,4.0,5.44,ZA,1601446878.0
409,Mar del Plata,-38.0,-57.56,12.0,87.0,29.0,4.6,AR,1601446761.0
410,Nikolskoye,59.7,30.79,12.0,87.0,90.0,2.0,RU,1601446823.0
411,Grindavik,63.84,-22.43,2.0,93.0,75.0,3.1,IS,1601446878.0
412,Jamestown,42.1,-79.24,10.56,93.0,90.0,3.6,US,1601446590.0
413,Busselton,-33.65,115.33,17.78,78.0,100.0,4.02,AU,1601446779.0
414,Busselton,-33.65,115.33,17.78,78.0,100.0,4.02,AU,1601446779.0
416,Flinders,-34.58,150.86,17.22,81.0,100.0,3.58,AU,1601446880.0
417,Bluff,-46.6,168.33,10.0,83.0,94.0,3.13,NZ,1601446803.0
418,Ushuaia,-54.8,-68.3,-1.0,100.0,75.0,7.7,AR,1601446797.0
419,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
420,Codrington,-38.27,141.97,14.37,81.0,100.0,5.76,AU,1601446832.0
421,Cidreira,-30.18,-50.21,16.43,91.0,44.0,4.89,BR,1601446804.0
422,Chokwé,-24.53,32.98,20.13,76.0,99.0,5.25,MZ,1601446881.0
423,Kenai,60.55,-151.26,11.0,53.0,90.0,11.3,US,1601446881.0
424,Barrow,71.29,-156.79,0.0,98.0,90.0,4.6,US,1601446608.0
425,Katsuura,35.13,140.3,26.11,56.0,20.0,2.6,JP,1601446877.0
426,Bethel,41.37,-73.41,21.11,94.0,90.0,4.1,US,1601446816.0
427,Hambantota,6.12,81.12,29.0,83.0,40.0,7.2,LK,1601446882.0
428,Arraial do Cabo,-22.97,-42.03,22.84,89.0,95.0,4.35,BR,1601446840.0
430,Port Alfred,-33.59,26.89,15.66,60.0,4.0,5.44,ZA,1601446878.0
431,Albany,42.6,-73.97,13.89,100.0,90.0,1.5,US,1601446765.0
433,San Cristobal,7.77,-72.22,18.45,82.0,98.0,1.4,VE,1601446883.0
434,Bethel,41.37,-73.41,21.11,94.0,90.0,4.1,US,1601446816.0
435,Katsuura,35.13,140.3,26.11,56.0,20.0,2.6,JP,1601446877.0
436,Busselton,-33.65,115.33,17.78,78.0,100.0,4.02,AU,1601446779.0
437,Roald,62.58,6.13,10.0,100.0,20.0,3.6,NO,1601446884.0
438,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
439,Grindavik,63.84,-22.43,2.0,93.0,75.0,3.1,IS,1601446878.0
440,Āsosa,10.07,34.53,20.99,86.0,79.0,0.23,ET,1601446885.0
441,Dikson,73.51,80.55,2.16,81.0,100.0,5.47,RU,1601446762.0
442,Mitsamiouli,-11.38,43.28,27.0,74.0,20.0,4.1,KM,1601446886.0
443,Esim,4.87,-2.24,24.02,93.0,99.0,3.79,GH,1601446886.0
444,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
446,Avera,33.19,-82.53,14.0,67.0,1.0,3.6,US,1601446887.0
447,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
448,Jamestown,42.1,-79.24,10.56,93.0,90.0,3.6,US,1601446590.0
449,Hermanus,-34.42,19.23,11.67,84.0,40.0,0.89,ZA,1601446779.0
450,Busselton,-33.65,115.33,17.78,78.0,100.0,4.02,AU,1601446779.0
451,Esperance,-33.87,121.9,22.0,56.0,18.0,4.6,AU,1601446888.0
452,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
453,Panguna,-6.32,155.48,23.86,96.0,51.0,0.41,PG,1601446888.0
454,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
455,Lagoa,39.05,-27.98,19.37,75.0,2.0,5.86,PT,1601446889.0
456,Bambous Virieux,-20.34,57.76,24.44,78.0,75.0,5.7,MU,1601446889.0
457,Teya,60.38,92.63,1.96,83.0,99.0,4.22,RU,1601446890.0
458,Bonavista,48.65,-53.11,15.74,93.0,21.0,6.93,CA,1601446869.0
459,Bluff,-46.6,168.33,10.0,83.0,94.0,3.13,NZ,1601446803.0
460,Tortolì,39.93,9.66,17.0,77.0,40.0,5.1,IT,1601446862.0
461,Jamestown,42.1,-79.24,10.56,93.0,90.0,3.6,US,1601446590.0
462,Coquimbo,-29.95,-71.34,10.0,76.0,0.0,2.1,CL,1601446891.0
463,Ponta do Sol,32.67,-17.1,20.0,82.0,75.0,4.1,PT,1601446630.0
464,Souillac,-20.52,57.52,24.0,78.0,75.0,5.7,MU,1601446784.0
465,Mashhad,36.3,59.61,14.0,24.0,0.0,3.1,IR,1601446798.0
466,Kunda,25.72,81.52,31.67,43.0,4.0,2.83,IN,1601446892.0
467,East London,-33.02,27.91,16.0,59.0,0.0,3.6,ZA,1601446561.0
469,Touros,-5.2,-35.46,22.0,94.0,75.0,1.5,BR,1601446892.0
470,Half Moon Bay,37.46,-122.43,16.11,100.0,90.0,2.6,US,1601446892.0
471,Bengkulu,-3.8,102.27,31.35,55.0,48.0,5.39,ID,1601446770.0
472,Kapaa,22.08,-159.32,27.0,69.0,1.0,3.1,US,1601446767.0
473,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
474,Palana,59.12,159.97,6.15,92.0,100.0,2.65,RU,1601446894.0
475,Usinsk,65.99,57.53,9.3,83.0,81.0,5.11,RU,1601446894.0
476,Tautira,-17.73,-149.15,27.0,69.0,20.0,1.5,PF,1601446895.0
477,Thompson,55.74,-97.86,7.0,100.0,75.0,2.6,CA,1601446764.0
478,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
479,Chui,-33.7,-53.46,10.58,94.0,0.0,2.09,UY,1601446786.0
480,Ushuaia,-54.8,-68.3,-1.0,100.0,75.0,7.7,AR,1601446797.0
481,Kavieng,-2.57,150.8,28.91,71.0,92.0,2.08,PG,1601446853.0
482,Yinchuan,38.47,106.27,19.47,51.0,76.0,6.75,CN,1601446896.0
484,Baker City,44.77,-117.83,11.0,62.0,1.0,0.99,US,1601446896.0
485,Baringo,0.47,35.97,26.28,44.0,23.0,3.56,KE,1601446897.0
486,Jamestown,42.1,-79.24,10.56,93.0,90.0,3.6,US,1601446590.0
487,Mahébourg,-20.41,57.7,24.0,78.0,75.0,5.7,MU,1601446859.0
489,Banjar,-8.19,114.97,30.0,79.0,20.0,7.7,ID,1601446898.0
490,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
491,Coquimbo,-29.95,-71.34,10.0,76.0,0.0,2.1,CL,1601446891.0
493,Amudālavalasa,18.42,83.9,25.95,84.0,100.0,3.96,IN,1601446899.0
494,Ushuaia,-54.8,-68.3,-1.0,100.0,75.0,7.7,AR,1601446797.0
495,Port Alfred,-33.59,26.89,15.66,60.0,4.0,5.44,ZA,1601446878.0
496,Hermanus,-34.42,19.23,11.67,84.0,40.0,0.89,ZA,1601446779.0
497,La Crosse,43.8,-91.24,12.0,71.0,1.0,3.1,US,1601446842.0
498,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
499,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
500,Mataura,-46.19,168.86,10.0,83.0,100.0,3.13,NZ,1601446781.0
501,Alofi,-19.06,-169.92,26.0,83.0,49.0,5.1,NU,1601446807.0
502,Beira,-19.84,34.84,26.0,78.0,75.0,5.1,MZ,1601446901.0
503,Atuona,-9.8,-139.03,25.96,75.0,2.0,9.94,PF,1601446775.0
504,Dikson,73.51,80.55,2.16,81.0,100.0,5.47,RU,1601446762.0
505,Provideniya,64.38,-173.3,6.0,70.0,90.0,3.0,RU,1601446901.0
506,Yanzhou,35.55,116.83,24.72,43.0,1.0,2.05,CN,1601446902.0
507,Kapaa,22.08,-159.32,27.0,69.0,1.0,3.1,US,1601446767.0
508,Brae,60.4,-1.35,11.0,81.0,20.0,9.3,GB,1601446706.0
509,Vaini,-21.2,-175.2,25.0,94.0,75.0,7.2,TO,1601446774.0
510,Avera,33.19,-82.53,14.0,67.0,1.0,3.6,US,1601446887.0
512,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
513,Iqaluit,63.75,-68.51,-2.0,68.0,90.0,5.7,CA,1601446514.0
514,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
515,Castro,-24.79,-50.01,15.99,93.0,25.0,1.5,BR,1601446800.0
517,Punta Arenas,-53.15,-70.92,1.0,86.0,90.0,6.2,CL,1601446786.0
518,Busselton,-33.65,115.33,17.78,78.0,100.0,4.02,AU,1601446779.0
519,Aklavik,68.22,-135.01,3.0,86.0,20.0,2.1,CA,1601446795.0
520,Hithadhoo,-0.6,73.08,28.64,68.0,100.0,3.27,MV,1601446624.0
521,Kumul,42.8,93.45,15.72,28.0,0.0,2.02,CN,1601446905.0
522,Castro,-24.79,-50.01,15.99,93.0,25.0,1.5,BR,1601446800.0
524,Pangnirtung,66.15,-65.71,-3.49,86.0,0.0,2.73,CA,1601446850.0
525,Vanimo,-2.67,141.3,28.99,72.0,65.0,3.01,PG,1601446875.0
526,Cidreira,-30.18,-50.21,16.43,91.0,44.0,4.89,BR,1601446804.0
527,Kruisfontein,-34.0,24.73,12.78,72.0,0.0,0.89,ZA,1601446906.0
528,Asheboro,35.71,-79.81,14.0,100.0,1.0,1.5,US,1601446907.0
529,Mar del Plata,-38.0,-57.56,12.0,87.0,29.0,4.6,AR,1601446761.0
530,Porto-Novo,6.5,2.6,25.0,94.0,40.0,4.1,BJ,1601446745.0
531,Atuona,-9.8,-139.03,25.96,75.0,2.0,9.94,PF,1601446775.0
533,Half Moon Bay,37.46,-122.43,16.11,100.0,90.0,2.6,US,1601446892.0
534,Hasaki,35.73,140.83,26.11,60.0,40.0,3.1,JP,1601446663.0
535,Bartica,6.4,-58.62,22.74,97.0,59.0,0.41,GY,1601446908.0
537,Port Alfred,-33.59,26.89,15.66,60.0,4.0,5.44,ZA,1601446878.0
538,San Cristobal,7.77,-72.22,18.45,82.0,98.0,1.4,VE,1601446883.0
539,Edson,53.58,-116.44,5.0,75.0,1.0,2.1,CA,1601446909.0
541,Ghorāwal,24.77,82.78,30.61,45.0,57.0,2.66,IN,1601446909.0
542,Cape Town,-33.93,18.42,15.56,87.0,27.0,1.0,ZA,1601446234.0
543,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
544,Mar del Plata,-38.0,-57.56,12.0,87.0,29.0,4.6,AR,1601446761.0
545,Hilo,19.73,-155.09,27.0,74.0,20.0,2.1,US,1601446795.0
546,Atuona,-9.8,-139.03,25.96,75.0,2.0,9.94,PF,1601446775.0
547,Ozernovskiy,51.5,156.52,10.51,81.0,34.0,1.85,RU,1601446911.0
548,Yellowknife,62.46,-114.35,3.33,100.0,20.0,3.1,CA,1601446810.0
549,Rikitea,-23.12,-134.97,21.18,79.0,55.0,10.13,PF,1601446768.0
